,Batch,Fenotype,Fish,hist,bins
32,batch 3,WT,ZebraF_6,0.8252628231573892,0.41666666666666663
32,batch 3,WT,ZebraF_6,1.3254781121991712,0.5
32,batch 3,WT,ZebraF_6,1.1766006775203608,0.5833333333333333
32,batch 3,WT,ZebraF_6,1.2922873804709745,0.6666666666666666
32,batch 3,WT,ZebraF_6,1.4793514336668792,0.75
32,batch 3,WT,ZebraF_6,1.1658505794000036,0.8333333333333333
32,batch 3,WT,ZebraF_6,0.1916740595012555,0.9166666666666666
33,batch 3,WT,ZebraF_7,14,0.0
33,batch 3,WT,ZebraF_7,0.6403965507839239,0.08333333333333333
33,batch 3,WT,ZebraF_7,0.46497781741008126,0.16666666666666666
33,batch 3,WT,ZebraF_7,0.4239115431859469,0.25
33,batch 3,WT,ZebraF_7,0.5478801378045762,0.3333333333333333
33,batch 3,WT,ZebraF_7,0.7194187815594052,0.41666666666666663
33,batch 3,WT,ZebraF_7,1.5497002804082216,0.5
33,batch 3,WT,ZebraF_7,0.9806887798793797,0.5833333333333333
33,batch 3,WT,ZebraF_7,0.7136230582375106,0.6666666666666666
33,batch 3,WT,ZebraF_7,0.75488893601351,0.75
33,batch 3,WT,ZebraF_7,2.092933156523536,0.8333333333333333
33,batch 3,WT,ZebraF_7,2.0117545916897446,0.9166666666666666
34,batch 3,WT,ZebraF_8,8,0.0
34,batch 3,WT,ZebraF_8,1.4942269826539558,0.08333333333333333
34,batch 3,WT,ZebraF_8,0.7385791412441084,0.16666666666666666
34,batch 3,WT,ZebraF_8,0.3611187040303503,0.25
34,batch 3,WT,ZebraF_8,0.08123444750407773,0.3333333333333333
34,batch 3,WT,ZebraF_8,0.009957481638079373,0.41666666666666663
34,batch 3,WT,ZebraF_8,0.003799984104670344,0.5
34,batch 3,WT,ZebraF_8,1.5795136456832095,0.5833333333333333
34,batch 3,WT,ZebraF_8,0.0,0.6666666666666666
34,batch 3,WT,ZebraF_8,0.0,0.75
34,batch 3,WT,ZebraF_8,0.0,0.8333333333333333
34,batch 3,WT,ZebraF_8,0.0,0.9166666666666666
35,batch 3,WT,ZebraF_9,12,0.0
35,batch 3,WT,ZebraF_9,1.5626354228171442,0.08333333333333333
35,batch 3,WT,ZebraF_9,1.3737563714462175,0.16666666666666666
35,batch 3,WT,ZebraF_9,0.7163993237300064,0.25
35,batch 3,WT,ZebraF_9,0.48409028698332723,0.3333333333333333
35,batch 3,WT,ZebraF_9,0.3776795997271609,0.41666666666666663
35,batch 3,WT,ZebraF_9,1.135097731935886,0.5
35,batch 3,WT,ZebraF_9,0.9909895557768038,0.5833333333333333
35,batch 3,WT,ZebraF_9,0.8939369704338705,0.6666666666666666
35,batch 3,WT,ZebraF_9,0.06031890334349052,0.75
35,batch 3,WT,ZebraF_9,0.0,0.8333333333333333
35,batch 3,WT,ZebraF_9,0.0,0.9166666666666666
36,batch 44,KO179,ZebraF_1,1.6157561276472343,0.0
36,batch 44,KO179,ZebraF_1,0.612274550892106,0.08333333333333333
36,batch 44,KO179,ZebraF_1,0.5322262991137893,0.16666666666666666
36,batch 44,KO179,ZebraF_1,0.5845539117322505,0.25
36,batch 44,KO179,ZebraF_1,0.7549115577198264,0.3333333333333333
36,batch 44,KO179,ZebraF_1,1.1798396522699788,0.41666666666666663
36,batch 44,KO179,ZebraF_1,1.38099191413512,0.5
36,batch 44,KO179,ZebraF_1,1.3913385055709555,0.5833333333333333
